1785632150.448637552	stopped	-
1785632150.651592717	stopped	-
1785632150.854466850	stopped	-
1785632151.057705820	stopped	-
1785632151.260502477	stopped	-
1785632151.464753792	stopped	-
1785632151.668372752	stopped	-
1785632151.871216348	stopped	-
1785632152.073717394	stopped	-
1785632152.276644627	stopped	-
1785632152.479746830	stopped	-
1785632152.682815770	stopped	-
1785632152.885712285	stopped	-
1785632153.088570737	stopped	-
1785632153.291745788	stopped	-
1785632153.494593481	stopped	-
1785632153.698859454	stopped	-
1785632153.903629431	stopped	-
1785632154.107417430	stopped	-
1785632154.310622529	stopped	-
1785632154.513972770	stopped	-
1785632154.717129917	stopped	-
1785632154.922622220	stopped	-
1785632155.128141011	stopped	-
1785632155.331755131	stopped	-
1785632155.534946865	stopped	-
1785632155.738942396	stopped	-
1785632155.942611711	stopped	-
1785632156.145594850	stopped	-
1785632156.348998093	stopped	-
1785632156.552318528	stopped	-
1785632156.755783418	stopped	-
1785632156.959380225	stopped	-
1785632157.163177403	stopped	-
1785632157.366089325	stopped	-
1785632157.569088194	stopped	-
1785632157.771578289	stopped	-
1785632157.974399502	stopped	-
1785632158.177177563	stopped	-
1785632158.379835606	stopped	-
1785632158.582920247	stopped	-
1785632158.786949482	stopped	-
1785632158.991373895	stopped	-
1785632159.194725881	stopped	-
1785632159.397522647	stopped	-
1785632159.600535160	stopped	-
1785632159.803609101	stopped	-
1785632160.010675487	stopped	-
1785632160.216427981	stopped	-
1785632160.419107144	stopped	-
1785632160.623392333	stopped	-
1785632160.827134788	stopped	-
1785632161.030588294	stopped	-
1785632161.233776129	stopped	-
1785632161.437257899	stopped	-
1785632161.640677945	stopped	-
1785632161.844349664	stopped	-
1785632162.048827549	stopped	-
1785632162.252046593	stopped	-
1785632162.455511832	stopped	-
1785632162.658626339	stopped	-
1785632162.861489440	stopped	-
1785632163.064168704	stopped	-
1785632163.266793424	stopped	-
1785632163.469410310	stopped	-
1785632163.672523625	stopped	-
1785632163.875806860	stopped	-
1785632164.078917349	stopped	-
1785632164.282903222	stopped	-
1785632164.493424690	stopped	-
1785632164.699953332	stopped	-
1785632164.902755026	stopped	-
1785632165.105550761	stopped	-
1785632165.308467103	stopped	-
1785632165.511686087	stopped	-
1785632165.714765206	stopped	-
1785632165.917988860	stopped	-
1785632166.121470720	stopped	-
1785632166.323982316	stopped	-
1785632166.526744437	stopped	-
1785632166.729682891	stopped	-
1785632166.932294677	stopped	-
1785632167.135296299	stopped	-
1785632167.338025598	stopped	-
1785632167.541356764	stopped	-
1785632167.745368457	stopped	-
1785632167.948492872	stopped	-
1785632168.151333661	stopped	-
1785632168.354367625	stopped	-
1785632168.557344702	stopped	-
1785632168.760466703	stopped	-
1785632168.963748045	stopped	-
1785632169.167275522	stopped	-
1785632169.372213445	stopped	-
1785632169.583158054	stopped	-
1785632169.795200397	stopped	-
1785632169.998136375	stopped	-
1785632170.201086441	stopped	-
1785632170.404157706	stopped	-
1785632170.607169338	stopped	-
1785632170.810512997	stopped	-
1785632171.013856667	stopped	-
1785632171.217002893	stopped	-
1785632171.420247467	stopped	-
1785632171.623886184	stopped	-
1785632171.827387662	stopped	-
1785632172.030596086	stopped	-
1785632172.233632255	stopped	-
1785632172.436584755	stopped	-
1785632172.639575979	stopped	-
1785632172.843191372	stopped	-
1785632173.046019427	stopped	-
1785632173.248558276	stopped	-
1785632173.451612478	stopped	-
1785632173.654322069	stopped	-
1785632173.858715594	stopped	-
1785632174.062173239	stopped	-
1785632174.265183037	stopped	-
1785632174.468447177	stopped	-
1785632174.671453558	stopped	-
1785632174.875637928	stopped	-
1785632175.082514265	stopped	-
1785632175.285578668	stopped	-
1785632175.488084504	stopped	-
1785632175.691365896	stopped	-
1785632175.894837336	stopped	-
1785632176.097565212	stopped	-
1785632176.300252962	stopped	-
1785632176.503209219	stopped	-
1785632176.706556185	stopped	-
1785632176.909938198	stopped	-
1785632177.112857806	stopped	-
1785632177.315677885	stopped	-
1785632177.519552910	stopped	-
1785632177.722751365	stopped	-
1785632177.925379462	stopped	-
1785632178.128439375	stopped	-
1785632178.331211444	stopped	-
1785632178.534186979	stopped	-
1785632178.737263653	stopped	-
1785632178.940512925	stopped	-
1785632179.144100105	stopped	-
1785632179.346693376	stopped	-
1785632179.549924974	stopped	-
1785632179.752874579	stopped	-
1785632179.957342043	stopped	-
1785632180.160794388	stopped	-
1785632180.363820208	stopped	-
1785632180.567067033	stopped	-
1785632180.770181861	stopped	-
1785632180.973018382	stopped	-
1785632181.175699079	stopped	-
1785632181.379550448	stopped	-
1785632181.582578461	stopped	-
1785632181.785407097	stopped	-
1785632181.988241795	stopped	-
1785632182.191145512	stopped	-
1785632182.394250602	stopped	-
1785632182.598177833	stopped	-
1785632182.801326745	stopped	-
1785632183.004023672	stopped	-
1785632183.206898175	stopped	-
1785632183.412095328	stopped	-
1785632183.616037039	stopped	-
1785632183.818891945	stopped	-
1785632184.021820320	stopped	-
1785632184.224867880	stopped	-
1785632184.427977527	stopped	-
1785632184.631423841	stopped	-
1785632184.834053862	stopped	-
1785632185.038631535	stopped	-
1785632185.245722077	stopped	-
1785632185.450506180	stopped	-
1785632185.653693555	stopped	-
1785632185.856689197	stopped	-
1785632186.059553200	stopped	-
1785632186.262442671	stopped	-
1785632186.465677946	stopped	-
1785632186.669184513	stopped	-
1785632186.872108950	stopped	-
1785632187.075717672	stopped	-
1785632187.279997471	stopped	-
1785632187.483775883	stopped	-
1785632187.686748421	stopped	-
1785632187.889840614	stopped	-
1785632188.092965942	stopped	-
1785632188.296381588	stopped	-
1785632188.499972535	stopped	-
1785632188.702971583	stopped	-
1785632188.905893294	stopped	-
1785632189.108833582	stopped	-
1785632189.312577749	stopped	-
1785632189.515785642	stopped	-
1785632189.718196348	stopped	-
1785632189.920908193	stopped	-
1785632190.123976553	stopped	-
1785632190.328399712	stopped	-
1785632190.531894218	stopped	-
1785632190.734726481	stopped	-
1785632190.938522335	stopped	-
1785632191.142129122	stopped	-
1785632191.345381600	stopped	-
